"代码","简称","时间","市盈率TTM","收盘价(元)","PE市盈率","PB市净率"
"601519.SH","大智慧","2011-01-28","93.9964","25.3800","109.7608","21.4601"
"601519.SH","大智慧","2011-02-01","89.1818","24.0800","104.1387","20.3609"
"601519.SH","大智慧","2011-02-11","86.6263","23.3900","101.1547","19.7775"
"601519.SH","大智慧","2011-02-18","95.4408","25.7700","111.4474","21.7899"
"601519.SH","大智慧","2011-02-25","95.8482","25.8800","111.9231","21.8829"
"601519.SH","大智慧","2011-03-04","90.9595","24.5600","106.2145","20.7668"
"601519.SH","大智慧","2011-03-11","91.2558","24.6400","106.5605","20.8344"
"601519.SH","大智慧","2011-03-18","87.6263","23.6600","102.3223","20.0058"
"601519.SH","大智慧","2011-03-25","100.2897","23.1900","100.2897","19.6084"
"601519.SH","大智慧","2011-04-01","96.2245","22.2500","96.2245","18.8136"
"601519.SH","大智慧","2011-04-08","97.8246","22.6200","97.8246","19.1264"
"601519.SH","大智慧","2011-04-15","97.0029","22.4300","97.0029","18.9658"
"601519.SH","大智慧","2011-04-22","93.5302","20.4800","88.5698","17.3169"
"601519.SH","大智慧","2011-04-29","78.8704","17.2700","74.6875","14.6027"
"601519.SH","大智慧","2011-05-06","76.3129","16.7100","72.2657","14.1292"
"601519.SH","大智慧","2011-05-13","77.4090","16.9500","73.3036","14.3321"
"601519.SH","大智慧","2011-05-20","75.6736","16.7149","71.6602","14.0108"
"601519.SH","大智慧","2011-05-27","68.0012","15.0202","64.3947","12.5903"
"601519.SH","大智慧","2011-06-03","68.7776","15.1917","65.1299","12.7340"
"601519.SH","大智慧","2011-06-10","64.8957","14.3343","61.4539","12.0153"
"601519.SH","大智慧","2011-06-17","63.2973","13.9812","59.9403","11.7194"
"601519.SH","大智慧","2011-06-24","72.5681","16.0290","68.7194","13.4358"
"601519.SH","大智慧","2011-07-01","72.3397","15.9785","68.5032","13.3936"
"601519.SH","大智慧","2011-07-08","72.3854","15.9886","68.5464","13.4020"
"601519.SH","大智慧","2011-07-15","77.0436","17.0176","72.9576","14.2645"
"601519.SH","大智慧","2011-07-22","73.3901","16.2106","69.4979","13.5880"
"601519.SH","大智慧","2011-07-29","69.0059","15.2422","65.3462","12.7763"
"601519.SH","大智慧","2011-08-05","66.3114","14.6470","62.7946","12.2774"
"601519.SH","大智慧","2011-08-12","62.2469","13.7492","58.9456","11.5249"
"601519.SH","大智慧","2011-08-19","64.4847","14.2435","61.0647","11.9392"
"601519.SH","大智慧","2011-08-26","73.2074","16.1702","69.3249","13.5542"
"601519.SH","大智慧","2011-09-02","73.6146","15.1009","64.7407","12.6579"
"601519.SH","大智慧","2011-09-09","71.7951","14.7277","63.1406","12.3451"
"601519.SH","大智慧","2011-09-16","72.7786","14.9294","64.0055","12.5142"
"601519.SH","大智慧","2011-09-23","71.4509","14.6571","62.8378","12.2859"
"601519.SH","大智慧","2011-09-30","67.2219","13.7896","59.1186","11.5587"
"601519.SH","大智慧","2011-10-14","72.2377","14.8185","63.5298","12.4212"
"601519.SH","大智慧","2011-10-21","66.6318","13.6685","58.5996","11.4572"
"601519.SH","大智慧","2011-10-28","66.2301","14.9395","64.0488","12.5226"
"601519.SH","大智慧","2011-11-04","70.4338","15.8878","68.1140","13.3175"
"601519.SH","大智慧","2011-11-11","70.1655","15.8272","67.8545","13.2667"
"601519.SH","大智慧","2011-11-18","66.4537","14.9900","64.2650","12.5649"
"601519.SH","大智慧","2011-11-25","64.8886","14.6369","62.7513","12.2690"
"601519.SH","大智慧","2011-12-02","61.6687","13.9106","59.6376","11.6602"
"601519.SH","大智慧","2011-12-09","61.2215","13.8097","59.2051","11.5756"
"601519.SH","大智慧","2011-12-16","56.0787","12.6497","54.2317","10.6032"
"601519.SH","大智慧","2011-12-23","51.8303","11.6914","50.1232","9.8000"
"601519.SH","大智慧","2011-12-30","48.6552","10.9752","47.0527","9.1996"
"601519.SH","大智慧","2012-01-06","45.0329","10.1581","66.0271","2.1567"
"601519.SH","大智慧","2012-01-13","46.9112","10.5817","68.7810","2.2467"
"601519.SH","大智慧","2012-01-20","47.6267","10.7431","69.8301","2.2809"
"601519.SH","大智慧","2012-02-03","48.8341","11.0155","71.6004","2.3388"
"601519.SH","大智慧","2012-02-10","50.1757","11.3181","73.5675","2.4030"
"601519.SH","大智慧","2012-02-17","51.5173","11.6208","75.5345","2.4673"
"601519.SH","大智慧","2012-02-24","55.4079","12.4984","81.2389","2.6536"
"601519.SH","大智慧","2012-03-02","55.2738","12.4681","81.0422","2.6472"
"601519.SH","大智慧","2012-03-09","54.7371","12.3471","80.2554","2.6215"
"601519.SH","大智慧","2012-03-16","52.0092","11.7317","76.2558","2.4908"
"601519.SH","大智慧","2012-03-23","49.3708","11.1366","72.3872","2.3645"
"601519.SH","大智慧","2012-03-30","45.4801","10.2590","66.6828","2.1781"
"601519.SH","大智慧","2012-04-06","48.3422","10.9045","70.8792","2.3152"
"601519.SH","大智慧","2012-04-13","76.9115","11.8326","76.9115","2.5123"
